"title_clean","title","n_records","databases","years"
"development and initial testing of an artificial intelligencebased virtual reality companion for people living with dementia in longterm care","Development and Initial Testing of an Artificial Intelligence-Based Virtual Reality Companion for People Living with Dementia in Long-Term Care.",2,"Embase+PubMed","2024"
"development and preliminary validation of a virtual reality memory test for assessing visuospatial memory","Development and preliminary validation of a virtual reality memory test for assessing visuospatial memory.",3,"Embase+PubMed","2023"
"development and verification of a vr platform to evaluate wayfinding abilities","Development and verification of a VR platform to evaluate wayfinding abilities.",3,"Embase+PubMed","2009"
"development of a virtual floor maze test effects of distal visual cues and correlations with executive function in healthy adults","Development of a Virtual Floor Maze Test - Effects of Distal Visual Cues and Correlations With Executive Function in Healthy Adults.",2,"Embase+PubMed","2019"
"diagnostic validity of the smart aging serious game an innovative tool for digital phenotyping of mild neurocognitive disorder","Diagnostic Validity of the Smart Aging Serious Game: An Innovative Tool for Digital Phenotyping of Mild Neurocognitive Disorder.",2,"Embase+PubMed","2021"
"differences in the association of peripheral insulin and cognitive function in nondiabetic alzheimers disease cases and normal controls","Differences in the association of peripheral insulin and cognitive function in non-diabetic Alzheimer's disease cases and normal controls.",2,"Embase+PubMed","2013"
"differential disruptions in population coding along the dorsalventral axis of ca1 in the appps1 mouse model of aβ pathology","Differential disruptions in population coding along the dorsal-ventral axis of CA1 in the APP/PS1 mouse model of Aβ pathology.",3,"Embase+PubMed","2022;2024"
"differential properties of early vs late 18fflorbetaben imaging acquisition time frames","Differential properties of Early vs. Late 18F-Florbetaben imaging acquisition time frames",3,"Embase","2022"
"differentiation of mild cognitive impairment using an entorhinal cortexbased test of virtual reality navigation","Differentiation of mild cognitive impairment using an entorhinal cortex-based test of virtual reality navigation.",2,"Embase+PubMed","2019"
"differentiation of vascular dementia and alzheimer disease a functional transcranial doppler ultrasonographic study","Differentiation of vascular dementia and Alzheimer disease: a functional transcranial Doppler ultrasonographic study.",2,"Embase+PubMed","2005"
"digital biomarkers for the early detection of mild cognitive impairment artificial intelligence meets virtual reality","Digital Biomarkers for the Early Detection of Mild Cognitive Impairment: Artificial Intelligence Meets Virtual Reality.",2,"Embase+PubMed","2020"
"digital gaming interventions in psychiatry evidence applications and challenges","Digital Gaming Interventions in Psychiatry: Evidence, Applications and Challenges.",2,"Embase+PubMed","2021"
"digital healthcare for dementia and cognitive impairment a scoping review","Digital healthcare for dementia and cognitive impairment: A scoping review.",2,"Embase+PubMed","2023"
"digital intervention for the management of alzheimers disease","Digital Intervention for the Management of Alzheimer's Disease.",2,"Embase+PubMed","2022"
"digital marker for early screening of mild cognitive impairment through hand and eye movement analysis in virtual reality using machine learning first validation study","Digital Marker for Early Screening of Mild Cognitive Impairment Through Hand and Eye Movement Analysis in Virtual Reality Using Machine Learning: First Validation Study.",2,"Embase+PubMed","2023"
"digital psychiatry with virtual reality and augmented reality recent advances and limitations","Digital Psychiatry with Virtual Reality and Augmented Reality: Recent Advances and Limitations.",2,"Embase+PubMed","2026"
"digital reminiscence therapy in dementia care a systematic review and metaanalysis","Digital reminiscence therapy in dementia care: a systematic review and meta-analysis.",2,"Embase+PubMed","2026"
"digital technologies to prevent falls in people living with dementia or mild cognitive impairment a rapid systematic overview of systematic reviews","Digital technologies to prevent falls in people living with dementia or mild cognitive impairment: a rapid systematic overview of systematic reviews.",2,"Embase+PubMed","2024"
"digital technology in cognitive decline bibliometric and visualization study","Digital Technology in Cognitive Decline: Bibliometric and Visualization Study.",2,"Embase+PubMed","2026"
"digital therapeutics for improving effectiveness of pharmaceutical drugs and biological products preclinical and clinical studies supporting development of drug digital combination therapies for chronic diseases","Digital Therapeutics for Improving Effectiveness of Pharmaceutical Drugs and Biological Products: Preclinical and Clinical Studies Supporting Development of Drug + Digital Combination Therapies for Chronic Diseases.",2,"Embase+PubMed","2024"
"digital transformation for the prevention of delirium in older adults with dementia development of simulation intervention using virtual reality and augmented reality programs and its subjective effects","Digital transformation for the prevention of delirium in older adults with dementia: Development of simulation intervention using virtual reality and augmented reality programs and its subjective effects].",2,"Embase+PubMed","2024"
"discordance in amyloid positivity between visual reads and centiloids impact of white matter uptake","Discordance in amyloid positivity between visual reads and Centiloids: Impact of white matter uptake.",2,"Embase+PubMed","2026"
"disentangling relationships between alzheimers disease plasma biomarkers and established biomarkers in patients of tertiary memory clinics","Disentangling relationships between Alzheimer's disease plasma biomarkers and established biomarkers in patients of tertiary memory clinics.",2,"Embase+PubMed","2025"
"disentangling the contribution of spatial reference frames to executive functioning in healthy and pathological aging an experimental study with virtual reality","Disentangling the Contribution of Spatial Reference Frames to Executive Functioning in Healthy and Pathological Aging: An Experimental Study with Virtual Reality.",2,"Embase+PubMed","2018"
"docking and admet prediction of few gsk3 inhibitors divulges 6bromoindirubin3oxime as a potential inhibitor","Docking and ADMET prediction of few GSK-3 inhibitors divulges 6-bromoindirubin-3-oxime as a potential inhibitor.",2,"Embase+PubMed","2016"
"does practicing with a virtual reality driving simulator improve spatial cognition in older adults a pilot study","Does Practicing with a Virtual Reality Driving Simulator Improve Spatial Cognition in Older Adults? A Pilot Study.",2,"Embase+PubMed","2020"
"does virtual reality have a future for the study of episodic memory in aging","Does virtual reality have a future for the study of episodic memory in aging?",2,"Embase+PubMed","2017"
"dual modal datadriven virtual realitybased mild cognitive impairment assessment using mciformer","Dual modal data-driven virtual reality-based mild cognitive Impairment assessment using MCIformer.",2,"Embase+PubMed","2026"
"earliest amyloid and tau deposition modulate the influence of limbic networks during closedloop hippocampal downregulation","Earliest amyloid and tau deposition modulate the influence of limbic networks during closed-loop hippocampal downregulation.",2,"Embase+PubMed","2020"
"early detection of diseases causing dementia using digital navigation and gait measures a systematic review of evidence","Early detection of diseases causing dementia using digital navigation and gait measures: A systematic review of evidence.",2,"Embase+PubMed","2024"
"early prediction of alzheimers disease using null longitudinal modelbased classifiers","Early Prediction of Alzheimer's Disease Using Null Longitudinal Model-Based Classifiers.",2,"Embase+PubMed","2017"
"early remodeling and loss of lightinduced dilation of retinal small arteries in cadasil","Early remodeling and loss of light-induced dilation of retinal small arteries in CADASIL.",2,"Embase+PubMed","2024"
"ecological effects of vrbased cognitive training on adl and iadl in mci and ad patients a systematic review and metaanalysis","Ecological Effects of VR-Based Cognitive Training on ADL and IADL in MCI and AD patients: A Systematic Review and Meta-Analysis.",2,"Embase+PubMed","2022"
"editorial","Editorial",2,"Embase","2006;2014"
"editorial ict for assessment and rehabilitation in alzheimers disease and related disorders","Editorial: ICT for Assessment and Rehabilitation in Alzheimer's Disease and Related Disorders.",2,"Embase+PubMed","2016"
"editorial technologies to support elderly patients with dementia","Editorial: Technologies to support elderly patients with dementia.",2,"Embase+PubMed","2023"
"educational needs assessment for family caregivers of dementia patients","Educational Needs Assessment for Family Caregivers of Dementia Patients.",2,"Embase+PubMed","2024"
"eegbased emotion classification for alzheimers disease patients using conventional machine learning and recurrent neural network models","EEG-Based Emotion Classification for Alzheimer's Disease Patients Using Conventional Machine Learning and Recurrent Neural Network Models.",2,"Embase+PubMed","2020"
"effect of a multicomponent exercise program with virtual reality mepvr versus standard approaches on functional and cognitive domains in hospitalised geriatric patients study protocol for a randomized controlled trial","Effect of a Multicomponent Exercise Program with Virtual Reality (MEP-VR) versus standard approaches on functional and cognitive domains in hospitalised geriatric patients: Study protocol for a randomized controlled trial.",3,"Embase+PubMed","2024;2025"
"effect of immersive virtual reality by a computer assisted rehabilitation environment caren in juvenile huntingtons disease a case report","Effect of Immersive Virtual Reality by a Computer Assisted Rehabilitation Environment (CAREN) in Juvenile Huntington's Disease: A Case Report.",2,"Embase+PubMed","2022"
"effect of individual virtual reality cognitive training programs on cognitive function and depression in middleaged women randomized controlled trial","Effect of Individual Virtual Reality Cognitive Training Programs on Cognitive Function and Depression in Middle-Aged Women: Randomized Controlled Trial.",2,"Embase+PubMed","2023"
"effect of virtual reality exercise on interventions for patients with alzheimers disease a systematic review","Effect of virtual reality exercise on interventions for patients with Alzheimer's disease: A systematic review.",2,"Embase+PubMed","2022"
"effect of virtual reality program for alleviating behavioral and psychological symptoms of dementia patients","Effect of Virtual Reality Program for Alleviating Behavioral and Psychological Symptoms of Dementia Patients].",2,"Embase+PubMed","2022"
"effect of virtual realitybased mindfulness program vs audioguided mindfulness on depression sleep and quality of life in dementia family caregivers an exploratory randomized controlled trial","Effect of Virtual Reality-Based Mindfulness Program vs Audio-Guided Mindfulness on Depression, Sleep, and Quality of Life in Dementia Family Caregivers: An Exploratory Randomized Controlled Trial.",2,"Embase+PubMed","2026"
"effect of virtualrealitybased education program for managing behavioral and psychological symptoms of dementia a randomized controlled trial","Effect of virtual-reality-based education program for managing behavioral and psychological symptoms of dementia: A randomized controlled trial.",2,"Embase+PubMed","2024"
"effectiveness of a virtual reality forest on people with dementia a mixed methods pilot study","Effectiveness of a Virtual Reality Forest on People With Dementia: A Mixed Methods Pilot Study.",2,"Embase+PubMed","2018"
"effectiveness of an innovative cognitive treatment and telerehabilitation on subjects with mild cognitive impairment a multicenter randomized activecontrolled study","Effectiveness of an Innovative Cognitive Treatment and Telerehabilitation on Subjects With Mild Cognitive Impairment: A Multicenter, Randomized, Active-Controlled Study.",2,"Embase+PubMed","2020"
"effectiveness of augmented and virtual realitybased interventions in improving knowledge attitudes empathy and stigma regarding people with mental illnessesa scoping review","Effectiveness of Augmented and Virtual Reality-Based Interventions in Improving Knowledge, Attitudes, Empathy and Stigma Regarding People with Mental Illnesses-A Scoping Review.",2,"Embase+PubMed","2023"
"effectiveness of computerbased interventions for communitydwelling people with cognitive decline a systematic review with metaanalyses","Effectiveness of computer-based interventions for community-dwelling people with cognitive decline: a systematic review with meta-analyses.",2,"Embase+PubMed","2023"
"effectiveness of virtual reality interventions on quality of life cognitive function and physical function in older people with alzheimers disease a systematic review","Effectiveness of virtual reality interventions on quality of life, cognitive function and physical function in older people with Alzheimer's disease: A systematic review.",2,"Embase+PubMed","2025"
"effectiveness of virtual reality on the caregiving competence and empathy of caregivers for elderly with chronic diseases a systematic review and metaanalysis","Effectiveness of Virtual Reality on the Caregiving Competence and Empathy of Caregivers for Elderly with Chronic Diseases: A Systematic Review and Meta-Analysis.",2,"Embase+PubMed","2023"
"effectiveness of vrbased cognitive training and games on cognitive rehabilitation in patients with mci a systematic review and metaanalysis","Effectiveness of VR-based cognitive training and games on cognitive rehabilitation in patients with MCI: a systematic review and meta-analysis.",2,"Embase+PubMed","2025"
"effects of 360degree immersive virtual reality dementia education on nursing students knowledge attitudes and empathy toward people with dementia","Effects of 360-Degree Immersive Virtual Reality Dementia Education on Nursing Students' Knowledge, Attitudes, and Empathy Toward People With Dementia.",2,"Embase+PubMed","2026"
"effects of a dementia educational programme using virtual reality on nurses in an acute care hospital a prepost comparative study","Effects of a dementia educational programme using virtual reality on nurses in an acute care hospital: A pre-post comparative study.",2,"Embase+PubMed","2024"
"effects of a dementia virtual realitybased training with peer support for home care workers a cluster randomized controlled trial","Effects of a dementia virtual reality-based training with peer support for home care workers: A cluster randomized controlled trial.",2,"Embase+PubMed","2022"
"effects of a mixed realitybased cognitive training system compared to a conventional computerassisted cognitive training system on mild cognitive impairment a pilot study","Effects of a Mixed Reality-based Cognitive Training System Compared to a Conventional Computer-assisted Cognitive Training System on Mild Cognitive Impairment: A Pilot Study.",2,"Embase+PubMed","2019"
"effects of a reminiscence therapy program on neuropsychiatric symptoms and quality of life in people with dementia a pilot study comparing immersive virtual reality and nonimmersive approaches","Effects of a Reminiscence Therapy Program on Neuropsychiatric Symptoms and Quality of Life in People With Dementia: A Pilot Study Comparing Immersive Virtual Reality and Non-immersive Approaches.",2,"Embase+PubMed","2026"
"effects of a virtual group cycling experience on people living with dementia a mixed method pilot study","Effects of a virtual group cycling experience on people living with dementia: A mixed method pilot study.",2,"Embase+PubMed","2021"
"effects of a virtual reality intervention on dementia care education among acute care nurses in japan a nonrandomised controlled trial","Effects of a virtual reality intervention on dementia care education among acute care nurses in Japan: A non-randomised controlled trial.",2,"Embase+PubMed","2022"
"effects of a virtual realitybased dementia educational program on healthcare staff in geriatric dementia wards a prepost comparative study","Effects of a Virtual Reality-Based Dementia Educational Program on Healthcare Staff in Geriatric Dementia Wards: A Pre-Post Comparative Study.",2,"Embase+PubMed","2025"
"effects of an immersive virtual reality reminiscence intervention on engagement behavioral and psychological symptoms and wellbeing of people with dementia a randomized crossover trial","Effects of an immersive virtual reality reminiscence intervention on engagement, behavioral and psychological symptoms, and well-being of people with dementia: A randomized crossover trial.",2,"Embase+PubMed","2025"
"effects of biophilic virtual reality on cognitive function of patients undergoing laparoscopic surgery study protocol for a sham randomised controlled trial","Effects of biophilic virtual reality on cognitive function of patients undergoing laparoscopic surgery: study protocol for a sham randomised controlled trial.",2,"Embase+PubMed","2022"
"effects of combined aerobic and virtual realitybased cognitive training on 76 years old diabetic male with mild cognitive impairment","Effects of Combined Aerobic and Virtual Reality-Based Cognitive Training on 76 Years Old Diabetic Male with Mild Cognitive Impairment.",2,"Embase+PubMed","2018"
"effects of combined physical and cognitive virtual realitybased training on cognitive impairment and oxidative stress in mci patients a pilot study","Effects of Combined Physical and Cognitive Virtual Reality-Based Training on Cognitive Impairment and Oxidative Stress in MCI Patients: A Pilot Study.",2,"Embase+PubMed","2018"
"effects of computerized cognitive training on biomarker responses in older adults with mild cognitive impairment a scoping review","Effects of computerized cognitive training on biomarker responses in older adults with mild cognitive impairment: A scoping review.",2,"Embase+PubMed","2024"
"effects of different virtual reality technology driven dualtasking paradigms on posture and saccadic eye movements in healthy older adults","Effects of different virtual reality technology driven dual-tasking paradigms on posture and saccadic eye movements in healthy older adults.",2,"Embase+PubMed","2022"
"effects of exercisebased management on motor symptoms in parkinsons disease a metaanalysis","Effects of Exercise-based Management on Motor Symptoms in Parkinson's Disease - A Meta-analysis.",2,"Embase+PubMed","2023"
"effects of fully immersive virtual reality training on cognitive function in patients with mild cognitive impairment a systematic review and metaanalysis","Effects of fully immersive virtual reality training on cognitive function in patients with mild cognitive impairment: a systematic review and meta-analysis.",2,"Embase+PubMed","2024"
"effects of immersive and nonimmersive virtual realitybased rehabilitation training on cognition motor function and daily functioning in patients with mild cognitive impairment or dementia a systematic review and metaanalysis","Effects of immersive and non-immersive virtual reality-based rehabilitation training on cognition, motor function, and daily functioning in patients with mild cognitive impairment or dementia: A systematic review and meta-analysis.",2,"Embase+PubMed","2024"
"effects of immersive virtual reality stimulation andor multicomponent physical exercise on cognitive and functional performance in hospitalized older patients with severe functional dependency study protocol for a randomized clinical trial","Effects of immersive virtual reality stimulation and/or multicomponent physical exercise on cognitive and functional performance in hospitalized older patients with severe functional dependency: study protocol for a randomized clinical trial.",2,"Embase+PubMed","2024"
"effects of the tovertafel on apathy social interaction and social activity of people with dementia in longterm inpatient care results of a noncontrolled withinsubjectdesign study","Effects of the Tovertafel(®) on apathy, social interaction and social activity of people with dementia in long-term inpatient care: results of a non-controlled within-subject-design study.",2,"Embase+PubMed","2024"
"effects of virtual reality combined cognitive and physical interventions on cognitive function in older adults with mild cognitive impairment a systematic review and metaanalysis","Effects of virtual reality combined cognitive and physical interventions on cognitive function in older adults with mild cognitive impairment: A systematic review and meta-analysis.",2,"Embase+PubMed","2022"
"effects of virtual reality intervention on cognition and motor function in older adults with mild cognitive impairment or dementia a systematic review and metaanalysis","Effects of Virtual Reality Intervention on Cognition and Motor Function in Older Adults With Mild Cognitive Impairment or Dementia: A Systematic Review and Meta-Analysis.",2,"Embase+PubMed","2021"
"effects of virtual reality motorcognitive training for older people with cognitive frailty multicentered randomized controlled trial","Effects of Virtual Reality Motor-Cognitive Training for Older People With Cognitive Frailty: Multicentered Randomized Controlled Trial.",2,"Embase+PubMed","2024"
"effects of virtual reality physical and cognitive training intervention on cognitive abilities of elders with mild cognitive impairment","Effects of Virtual Reality Physical and Cognitive Training Intervention On Cognitive Abilities of Elders with Mild Cognitive Impairment.",2,"Embase+PubMed","2023"
"effects of virtual reality walkinginplace exercise and seated cycling on grip strength lower limb strength and five times sittostand test in elderly individuals with dementia a parallel randomized controlled trial","Effects of virtual reality walking-in-place exercise and seated cycling on grip strength, lower limb strength, and five times sit-to-stand test in elderly individuals with dementia: A parallel randomized controlled trial.",2,"Embase+PubMed","2026"
"effects of virtual realitybased cognitive training in older adults living without and with mild dementia a pretestposttest design pilot study","Effects of virtual reality-based cognitive training in older adults living without and with mild dementia: a pretest-posttest design pilot study.",2,"Embase+PubMed","2019"
"effects of virtual realitybased cognitive training in the elderly with and without mild cognitive impairment","Effects of Virtual Reality-Based Cognitive Training in the Elderly with and without Mild Cognitive Impairment.",2,"Embase+PubMed","2021"
"effects of virtual realitybased therapy on cognitive and psychological outcomes in older adults with predementia a systematic review and metaanalysis","Effects of virtual reality-based therapy on cognitive and psychological outcomes in older adults with predementia: A systematic review and meta-analysis.",2,"Embase+PubMed","2026"
"effects of visualisation of personalised contents presented using virtual reality on the wellbeing and engagement of people with advanced dementia a qualitative study of 4 cases","Effects of visualisation of personalised contents, presented using virtual reality, on the well-being and engagement of people with advanced dementia. A qualitative study of 4 cases].",2,"Embase+PubMed","2019"
"efficacy and moderators of virtual reality for cognitive training in people with dementia and mild cognitive impairment a systematic review and metaanalysis","Efficacy and Moderators of Virtual Reality for Cognitive Training in People with Dementia and Mild Cognitive Impairment: A Systematic Review and Meta-Analysis.",2,"Embase+PubMed","2022"
"efficacy of different digital interventions in patients with mild cognitive impairment or dementia a systematic review and network metaanalysis","Efficacy of different digital interventions in patients with mild cognitive impairment or dementia: A systematic review and network meta-analysis.",2,"Embase+PubMed","2025"
"efficacy of ictbased interventions in improving psychological outcomes among older adults with mci and dementia a systematic review and metaanalysis","Efficacy of ICT-based interventions in improving psychological outcomes among older adults with MCI and dementia: A systematic review and meta-analysis.",2,"Embase+PubMed","2022"
"efficacy of multisensory technology in poststroke cognitive rehabilitation a systematic review","Efficacy of Multisensory Technology in Post-Stroke Cognitive Rehabilitation: A Systematic Review.",2,"Embase+PubMed","2022"
"efficacy of quantitative susceptibility mapping with brain surface correction and vein removal for detecting increase magnetic susceptibility in patients with alzheimers disease","Efficacy of Quantitative Susceptibility Mapping with Brain Surface Correction and Vein Removal for Detecting Increase Magnetic Susceptibility in Patients with Alzheimer's Disease.",2,"Embase+PubMed","2023"
"efficacy of virtual reality technology interventions for cognitive and mental outcomes in older people with cognitive disorders an umbrella review comprising metaanalyses of randomized controlled trials","Efficacy of virtual reality technology interventions for cognitive and mental outcomes in older people with cognitive disorders: An umbrella review comprising meta-analyses of randomized controlled trials.",2,"Embase+PubMed","2024"
"efficiency of computerized cognitive training for prevention of cognitive impairments and stimulation of neuroplasticity","Efficiency of computerized cognitive training for prevention of cognitive impairments and stimulation of neuroplasticity.].",2,"Embase+PubMed","2024"
"egocentric and allocentric memory as assessed by virtual reality in individuals with amnestic mild cognitive impairment","Egocentric and allocentric memory as assessed by virtual reality in individuals with amnestic mild cognitive impairment.",2,"Embase+PubMed","2011"
"egocentric and allocentric spatial memory in mild cognitive impairment with realworld and virtual navigation tasks a systematic review","Egocentric and Allocentric Spatial Memory in Mild Cognitive Impairment with Real-World and Virtual Navigation Tasks: A Systematic Review.",2,"Embase+PubMed","2021"
"egocentric spatial memory deficit in amnestic mild cognitive impairment revealed through virtual reality crosssectional study","Egocentric Spatial Memory Deficit in Amnestic Mild Cognitive Impairment Revealed Through Virtual Reality: Cross-Sectional Study.",2,"Embase+PubMed","2026"
"egocentric spatial orientation differences between alzheimers disease at early stages and mild cognitive impairment a diagnostic aid","Egocentric spatial orientation differences between Alzheimer's disease at early stages and mild cognitive impairment: a diagnostic aid.",2,"Embase+PubMed","2022"
"embodied cognition in neurodegenerative disorders what do we know so far a narrative review focusing on the mirror neuron system and clinical applications","Embodied cognition in neurodegenerative disorders: What do we know so far? A narrative review focusing on the mirror neuron system and clinical applications.",2,"Embase+PubMed","2022"
"embodied spatial navigation training in mild cognitive impairment a proofofconcept trial","Embodied Spatial Navigation Training in Mild Cognitive Impairment: A Proof-of-Concept Trial.",2,"Embase+PubMed","2024"
"encoding strategy training and selfreported everyday prospective memory in people with parkinson disease a randomizedcontrolled trial","Encoding strategy training and self-reported everyday prospective memory in people with Parkinson disease: a randomized-controlled trial.",2,"Embase+PubMed","2018"
"enhancing cognitive flexibility and working memory in individuals with mild cognitive impairment exploring the impact of virtual reality on daily life activities","Enhancing cognitive flexibility and working memory in individuals with mild cognitive impairment: Exploring the impact of virtual reality on daily life activities.",2,"Embase+PubMed","2024"
"entorhinalbased path integration selectively predicts midlife risk of alzheimers disease","Entorhinal-based path integration selectively predicts midlife risk of Alzheimer's disease.",2,"Embase+PubMed","2024"
"european projects for patients with dementia and their caregivers","European Projects for Patients with Dementia and Their Caregivers.",2,"Embase+PubMed","2023"
"evaluating a virtual reality dementia training experience using psychophysiological methods a randomised controlled study","Evaluating a virtual reality dementia training experience using psychophysiological methods: A randomised controlled study.",2,"Embase+PubMed","2024"
"evaluating digital device technology in alzheimers disease via artificial intelligence","Evaluating digital device technology in Alzheimer's disease via artificial intelligence",2,"Embase","2021"
"evaluating the impact of virtual reality on the behavioral and psychological symptoms of dementia and quality of life of inpatients with dementia in acute care randomized controlled trial vrct","Evaluating the Impact of Virtual Reality on the Behavioral and Psychological Symptoms of Dementia and Quality of Life of Inpatients With Dementia in Acute Care: Randomized Controlled Trial (VRCT).",2,"Embase+PubMed","2024"
"evaluation of a cognitionsensitive spatial virtual reality game for alzheimers disease","Evaluation of a cognition-sensitive spatial virtual reality game for Alzheimer's disease.",2,"Embase+PubMed","2025"
"evaluation of a novel serious game based assessment tool for patients with alzheimers disease","Evaluation of a novel Serious Game based assessment tool for patients with Alzheimer's disease.",2,"Embase+PubMed","2017"
"evaluation of a sensitive visual read algorithm for assessing 3r4r tau pet images","Evaluation of a Sensitive Visual Read Algorithm for Assessing 3R/4R Tau PET Images.",2,"Embase+PubMed","2025"
"evaluation of a virtual realitybased memory training programme for hong kong chinese older adults with questionable dementia a pilot study","Evaluation of a virtual reality-based memory training programme for Hong Kong Chinese older adults with questionable dementia: a pilot study.",2,"Embase+PubMed","2012"
"everyday memory deficits in very mild alzheimers disease","Everyday memory deficits in very mild Alzheimer's disease.",2,"Embase+PubMed","2012"
"everydaylike memory for objects in ageing and alzheimers disease assessed in a visually complex environment the role of executive functioning and episodic memory","Everyday-like memory for objects in ageing and Alzheimer's disease assessed in a visually complex environment: The role of executive functioning and episodic memory.",2,"Embase+PubMed","2016"
"executive function and selfregulated exergaming adherence among older adults","Executive function and self-regulated exergaming adherence among older adults.",2,"Embase+PubMed","2014"
"executive functions in a virtual world a study in parkinsons disease","Executive functions in a virtual world: a study in Parkinson's disease.",4,"Embase+PubMed","2009;2010"
"exercising with virtual reality is potentially better for the working memory and positive mood than cycling alone","Exercising with virtual reality is potentially better for the working memory and positive mood than cycling alone",2,"Embase","2024"
"exergaming and cognitive functions in people with mild cognitive impairment and dementia a metaanalysis","Exergaming and cognitive functions in people with mild cognitive impairment and dementia: a meta-analysis.",2,"Embase+PubMed","2024"
"exergaming and older adult cognition a cluster randomized clinical trial","Exergaming and older adult cognition: a cluster randomized clinical trial.",2,"Embase+PubMed","2012"
"exergaming as a physical exercise strategy reduces frailty in people with dementia a randomized controlled trial","Exergaming as a Physical Exercise Strategy Reduces Frailty in People With Dementia: A Randomized Controlled Trial.",2,"Embase+PubMed","2019"
"exergaming for dementia and mild cognitive impairment","Exergaming for dementia and mild cognitive impairment.",3,"Embase+PubMed","2021;2024"
"experiencing parkinsons disease psychosis via virtual reality simulation a novel and effective educational tool","Experiencing Parkinson's disease psychosis via virtual reality simulation: A novel and effective educational tool",2,"Embase","2016"
"experiential learning through a dementia simulation","Experiential Learning Through a Dementia Simulation.",2,"Embase+PubMed","2021"
"explore peptides extracted from gliadin hydrolysates suppressing bace1 activity and restraining aβ protein deposition","Explore peptides extracted from gliadin hydrolysates suppressing BACE1 activity and restraining Aβ protein deposition.",2,"Embase+PubMed","2025"
"exploring customised virtual environments in patients with cognitive decline and responsive behaviours protocol for a proofofconcept and feasibility study in a longterm care facility iembrace","Exploring customised virtual environments in patients with cognitive decline and responsive behaviours: protocol for a proof-of-concept and feasibility study in a long-term care facility (iEMBRACE).",2,"Embase+PubMed","2025"
"exploring the feasibility of emg based interaction for assessing cognitive capacity in virtual reality","Exploring the Feasibility of EMG Based Interaction for Assessing Cognitive Capacity in Virtual Reality.",2,"Embase+PubMed","2018"
"exploring the relationship between behavioral and neurological impairments due to mild cognitive impairment correlation study between virtual kiosk test and eegssvep","Exploring the Relationship between Behavioral and Neurological Impairments Due to Mild Cognitive Impairment: Correlation Study between Virtual Kiosk Test and EEG-SSVEP.",2,"Embase+PubMed","2024"
"exploring the remediation of behavioral disturbances of spatial cognition in communitydwelling senior citizens with mild cognitive impairment via innovative technological apparatus bdscmci project protocol for a prospective multicenter observational study","Exploring the Remediation of Behavioral Disturbances of Spatial Cognition in Community-Dwelling Senior Citizens with Mild Cognitive Impairment via Innovative Technological Apparatus (BDSC-MCI Project): Protocol for a Prospective, Multi-Center Observational Study.",2,"Embase+PubMed","2024"
"exploring the usability of the virtual reality module leaf café a qualitative thinkaloud study","Exploring the usability of the virtual reality module LEAF CAFÉ: a qualitative think-aloud study.",2,"Embase+PubMed","2024"
"extended reality for neurocognitive assessment a systematic review","Extended reality for neurocognitive assessment: A systematic review.",2,"Embase+PubMed","2025"
"eye tracking analysis of visual cues during wayfinding in early stage alzheimers disease","Eye Tracking Analysis of Visual Cues during Wayfinding in Early Stage Alzheimer's Disease.",2,"Embase+PubMed","2020"
"face recognition characteristics in patients with agerelated macular degeneration determined using a virtual reality headset with eye tracking","Face Recognition Characteristics in Patients with Age-Related Macular Degeneration Determined Using a Virtual Reality Headset with Eye Tracking.",2,"Embase+PubMed","2024"
"facilitating communication between persons living with dementia and their caregivers results of the vrxhome pilot study","Facilitating communication between persons living with dementia and their caregivers: Results of the VRx@home pilot study.",2,"Embase+PubMed","2026"
"facilitators barriers and impacts to implementing dementia care training for staff in longterm care settings by using fully immersive virtual reality a scoping review protocol","Facilitators, barriers and impacts to implementing dementia care training for staff in long-term care settings by using fully immersive virtual reality: a scoping review protocol.",2,"Embase+PubMed","2024"
"falls in cognitively impaired older adults implications for risk assessment and prevention","Falls in Cognitively Impaired Older Adults: Implications for Risk Assessment And Prevention.",2,"Embase+PubMed","2018"
"fear among patients with parkinsons disease and repeated falls analysis of skin conductance responses during simulated accidents","Fear among patients with Parkinson's disease and repeated falls: Analysis of skin conductance responses during simulated accidents.",2,"Embase+PubMed","2025"
"feasibility and tolerability of a culturebased virtual reality vr training program in patients with mild cognitive impairment a randomized controlled pilot study","Feasibility and Tolerability of a Culture-Based Virtual Reality (VR) Training Program in Patients with Mild Cognitive Impairment: A Randomized Controlled Pilot Study.",2,"Embase+PubMed","2020"
"feasibility and usability of a nonimmersive virtual reality telecognitive app in cognitive rehabilitation of patients affected by parkinsons disease","Feasibility and usability of a non-immersive virtual reality tele-cognitive app in cognitive rehabilitation of patients affected by Parkinson's disease.",2,"Embase+PubMed","2022"
"feasibility of a developed cognitive training system based on virtual reality with smart mirror for expert in community older cognitive disabled persons setting","Feasibility of a developed cognitive training system based on virtual reality with smart mirror for expert in community older cognitive disabled persons setting.",2,"Embase+PubMed","2025"
"feasibility of groupbased multiple virtual reality sessions to reduce behavioral and psychological symptoms in persons living in residential aged care","Feasibility of Group-Based Multiple Virtual Reality Sessions to Reduce Behavioral and Psychological Symptoms in Persons Living in Residential Aged Care.",2,"Embase+PubMed","2022"
"feasibility study of the brightbrainer integrative cognitive rehabilitation system for elderly with dementia","Feasibility study of the BrightBrainer™ integrative cognitive rehabilitation system for elderly with dementia.",2,"Embase+PubMed","2015"
